´Žèurl,pick,team,year,player,pos,pos_cat,college,weight,weight_normalized,height_inches,height_normalized,forty,forty_normalized,vertical,vertical_normalized,bench,bench_normalized,broad,broad_normalized,threecone,threecone_normalized,shuttle,shuttle_normalized,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons,num_missing_vals
https://www.sports-reference.com/cfb/players/ac-leonard-1.html,300,Not Drafted,2014,A.C. Leonard,TE,TE,Tennessee State,252,5.263165374,74,4,4.5,8.375,34,5.378378378,20,5.156099189,128,8.5,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,99,8,0,0,0,8,0,99,1,2
https://www.sports-reference.com/cfb/players/aj-brown-3.html,51,Tennessee Titans,2019,A.J. Brown,WR,WR,Mississippi,226,8.080031322,72,5.846153846,4.49,5.968768186,36.5,5.973684211,19,6.869565217,120,5.52773906,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,19,2984,189,0,0,0,189,19,2984,3,2
https://www.sports-reference.com/cfb/players/aj-cann-1.html,67,Jacksonville Jaguars,2015,A.J. Cann,OG,OL,South Carolina,313,5.702706574,75,3.7,5.47,3.749421243,NA,NA,26,5.781264941,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
https://www.sports-reference.com/cfb/players/aj-davis-1.html,105,Detroit Lions,2007,A.J. Davis,CB,CB,North Carolina State,193,5.245283019,70,4,4.56,4.791458791,NA,NA,16,6.04,NA,NA,NA,NA,NA,NA,17,0,0,0,0,46,4,0,111,2.0,6,1,4,39.0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
https://www.sports-reference.com/cfb/players/aj-edds-1.html,300,Not Drafted,2010,A.J. Edds,OLB,LB,Iowa,246,6.04001008,76,8,4.62,6.999583275,33,5.371428571,16,3.000007407,117,5.371428571,7.19,5.804729214,4.28,5.597826087,149,1,0,0,0,48,7,0,67,12.5,0,2,4,76.0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/aj-green-1.html,4,Cincinnati Bengals,2011,A.J. Green,WR,WR,Georgia,211,6.385941312,76,8.615384615,4.48,6.143355965,34.5,5.026315789,18,6.47826087,126,7.125764611,6.91,6.097345133,4.21,6.25,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,23,2619,166,7,0,105,173,23,2724,3,0
https://www.sports-reference.com/cfb/players/aj-hawk-1.html,5,Green Bay Packers,2006,A.J. Hawk,OLB,LB,Ohio State,248,6.4000108,73,5,4.59,7.374635366,40,8.971428571,24,5.666683951,115,4.857142857,6.82,8.627002288,3.96,8.72826087,52,0,0,0,0,51,7,1,123,16.5,0,9.5,4,69.0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/aj-jefferson-1.html,300,Not Drafted,2010,A.J. Jefferson,CB,CB,Fresno State,193,5.245283019,72,6,4.42,7.305926961,44,9.4375,7,2.8,126,6.225823309,6.72,6.754098361,4,7.352629721,39,0,0,1,0,39,0,0,0,1.0,1,0,4,69.0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/aj-jenkins-1.html,30,San Francisco 49ers,2012,A.J. Jenkins,WR,WR,Illinois,190,4.014215298,72,5.846153846,4.37,8.063821532,38.5,6.921052632,12,4.130434783,124,6.593089427,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,19,2432,167,6,0,25,173,19,2457,4,2
https://www.sports-reference.com/cfb/players/aj-klein-1.html,148,Carolina Panthers,2013,A.J. Klein,ILB,LB,Iowa State,250,6.76001152,73,5,4.66,6.499513821,NA,NA,20,4.333345679,113,4.342857143,NA,NA,NA,NA,180,1,1,0,0,51,5,4,265,20.0,7,3,4,181.0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
